Battery Capacity (kWh),Low Range (Kg CO2),Medium Range (Kg CO2),High Range (Kg CO2)
1,40,150,200
30,1200,4500,6000
60,2400,9000,12000
80,3200,10200,16000
160,6400,24000,32000
200,8000,30000,40000
