Man:text,Specific emissions target:number,Average CO2 emissions:number
BMW,125.942,114.743
FORD,123.281,118.013
HYUNDAI,112.485,107.134
KIA,111.498,106.275
MAZDA-SUBARU-SUZUKI-TOYOTA,117.336,115.208
MERCEDES-BENZ,125.181,114.133
RENAULT-NISSAN-MITSUBISHI,110.466,108.43
STELLANTIS,118.376,110.743
TESLA,136.043,66.096
VW-SAIC,120.789,117.3
