make,model,wh_km,capacity_kwh
SMART,#3 PRO,177,47.00
ZEEKR,001 LONG RANGE RWD,177,94.00
LUCID,AIR DREAM EDITION P,177,118.00
MERCEDES,EQS 450 4MATIC,178,108.40
VOLVO,EX30 TWIN MOTOR PERFORMANCE,178,64.00
ZEEKR,X LONG RANGE RWD,178,64.00
XPENG,P7 WING EDITION,178,82.70
BYD,DOLPHIN 60.4 KWH,178,60.48
OPEL,MOKKA-E 50 KWH,178,46.30
NIO,ET7 100 KWH,178,90.00
NIO,ET5 75 KWH,178,70.50
CUPRA,TAVASCAN VZ,179,77.00
VOLKSWAGEN,ID.5 GTX,179,77.00
BMW,I4 M50,179,80.70
MERCEDES,EQE 500 4MATIC,179,90.60
ORA,FUNKY CAT GT,180,59.30
XPENG,P7 AWD PERFORMANCE,180,82.70
BYD,HAN,180,85.40
E.GO,E.WAVE X,180,27.00
NIO,ET5 100 KWH,180,90.00
AUDI,Q4 SPORTBACK E-TRON 40,180,76.60
KIA,EV6 LONG RANGE 2WD,180,74.00
TESLA,MODEL Y PERFORMANCE,181,75.00
VOLKSWAGEN,ID.4 PRO 4MOTION,181,77.00
VOLKSWAGEN,ID.4 PURE,182,52.00
ZEEKR,X PRIVILEGE AWD,183,64.00
HYUNDAI,IONIQ 5 STANDARD RANGE 2WD,183,54.00
NIO,ET5 TOURING 75 KWH,183,70.50
BYD,ATTO 3,183,60.48
AUDI,Q4 E-TRON 45,183,77.00
VOLKSWAGEN,ID.4 GTX,183,77.00
MERCEDES,EQS 500 4MATIC,184,108.40
MERCEDES,EQS 580 4MATIC,184,108.40
MG,ZS EV LONG RANGE,185,68.30
HONDA,E:NY1,185,61.90
MG,ZS EV STANDARD RANGE,185,49.00
KIA,EV6 LONG RANGE AWD,185,74.00
SMART,#1 PREMIUM,185,62.00
SMART,#1 PRO+,185,62.00
AUDI,Q4 SPORTBACK E-TRON 45 QUATTRO,186,77.00
AUDI,Q4 SPORTBACK E-TRON 55 QUATTRO,186,77.00
NIO,ET5 TOURING 100 KWH,186,90.00
VOLVO,C40 RECHARGE SINGLE MOTOR,186,66.00
PORSCHE,TAYCAN GTS,186,83.70
